Image_Name: Unicode_Text
219_P001_B3_L01_W04.tif : ಹುಟ್ಟು,
219_P001_B3_L05_W02.tif : ಸಂಘಜೀವಿಯಾಗಿ
219_P001_B3_L11_W03.tif : ಐತಿಹಾಸಿಕ
219_P001_B3_L16_W02.tif : ಆದುದರಿಂದ
219_P001_B3_L16_W04.tif : ಚಿಂತನೆಯ
219_P002_B2_L10_W04.tif : ವ್ಯವಸಾಯ
219_P002_B2_L13_W04.tif : ಚರಿತ್ರೆಯ
219_P002_B3_L01_W05.tif : ಇತಿಹಾಸಕ್ಕಿಂತ
219_P002_B4_L01_W06.tif : ಮೂಲಭೂತವಾದ
219_P003_B2_L02_W03.tif : ಅಭಿಪ್ರಾಯಗಳ
219_P003_B2_L03_W02.tif : ವೈಜ್ಞಾನಿಕವಾದ
219_P003_B3_L03_W06.tif : ಕಾಲಗಳ,
219_P003_B3_L06_W03.tif : ಕೊಂಡಿಗಳಿಗಾಗಿ,
219_P003_B3_L11_W01.tif : ಅಭ್ಯಾಸಗಳು
219_P003_B4_L06_W05.tif : ಕಾಣಿಕೆಯಾಗಿದೆ.
219_P003_B5_L04_W04.tif : ಹಾದು
219_P003_B5_L06_W05.tif : ಸಮಾಜವಾದ,
219_P004_B2_L05_W07.tif : ಜವಹರಲಾಲ್
219_P004_B2_L06_W02.tif : ವಿಶ್ವೆಶ್ವರಯ್ಯ,
219_P004_B3_L05_W03.tif : ಕ್ಷೇಮಾಭ್ಯುದಯವನ್ನು
219_P004_B3_L07_W01.tif : ಇರುತ್ತವೆ.
219_P004_B3_L07_W05.tif : ಇತಿಹಾಸದ
219_P004_B4_L03_W03.tif : ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞರು
219_P004_B4_L03_W04.tif : ಪ್ರಾಚೀನ
219_P004_B4_L03_W06.tif : ಮಧ್ಯಕಾಲೀನ
219_P004_B4_L07_W01.tif : ಕೊಳ್ಳಲು
219_P004_B4_L07_W04.tif : ಪ್ರಾಚೀನ
219_P004_B5_L04_W04.tif : ತತ್ವಜ್ಞಾನಿ
219_P005_B2_L03_W05.tif : ಚಿ೦ತನೆಯಲ್ಲಿ
219_P005_B3_L01_W02.tif : ಚಿ೦ತಕರಾದ
219_P005_B3_L03_W06.tif : ಪ್ರಕ್ರಿಯೆಯ
219_P005_B3_L05_W04.tif : ವಿಧಾನವಾಗಿದೆ.
219_P005_B3_L05_W06.tif : ಸ್ಮಿತ್,
219_P005_B3_L06_W01.tif : ಡೇವಿಡ್
219_P005_B5_L03_W04.tif : ತತ್ವಗಳ
219_P005_B6_L02_W02.tif : ಅಭಿಪ್ರಾಯಗಳಿವೆ.
219_P006_B2_L01_W06.tif : ಇತಿಹಾಸಕ್ಕೆ
219_P006_B5_L01_W02.tif : ಮೊದಲನೆದಾಗಿ,
219_P006_B6_L06_W07.tif : ಬಡ್ಡಿ
219_P006_B7_L07_W02.tif : ಅಧ್ಯಯನವು
219_P006_B7_L07_W03.tif : ಮಹತ್ವ
219_P007_B4_L05_W07.tif : ತತ್ವಗಳು
219_P008_B3_L01_W05.tif : ಹ೦ತಗಳನ್ನು
219_P008_B3_L02_W04.tif : ದೇಶಗಳ
219_P008_B3_L04_W02.tif : ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞನಾದ
219_P008_B4_L03_W02.tif : ಅಥ೯ಶಾಸ್ತ್ರಜ್ಞರು
219_P008_B5_L05_W05.tif : ತಿಳೆಯಪಡಿಸುತ್ತದೆ.
219_P008_B6_L01_W04.tif : ಇತಿಹಾಸ
219_P008_B6_L02_W03.tif : ಮಹತ್ವಪೂರ್ಣವೆ೦ಬುದನ್ನು
219_P008_B7_L01_W06.tif : ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞರ
219_P009_B3_L01_W06.tif : ಲ್ಲರ
219_P009_B3_L02_W03.tif : ಸ೦ಪ್ರದಾಯ
219_P009_B3_L03_W03.tif : ಒಳಗಾಗಿದ್ದ.
219_P009_B3_L04_W04.tif : ಮೋಡಿಯ
219_P009_B7_L03_W05.tif : ಗ್ರೀಕ್
219_P009_B7_L06_W03.tif : ಶುಕ್ರ,
219_P009_B8_L03_W02.tif : ಚಳವಳಿಗಳ
219_P010_B4_L03_W04.tif : ಪ೦ಥವೆ೦ದ
219_P010_B5_L02_W05.tif : ಭಾವಿಸಲಾಗಿದೆ.
219_P010_B5_L03_W04.tif : ವಿರೋಧೀ
219_P010_B6_L02_W03.tif : ಪ್ರಭುತ್ವವನ್ನು
219_P010_B6_L04_W04.tif : ಪ್ರಬಲವಾದವು.
219_P010_B6_L05_W03.tif : ವಾಣಿಜ್ಯ
219_P010_B7_L01_W04.tif : ಕಾರಣವಾದ
219_P011_B3_L01_W01.tif : ಊಳಿಗಮಾನ್ಯ
219_P011_B3_L07_W04.tif : ಅಭಿಪ್ರಾಯದ೦ತೆ
219_P011_B4_L02_W03.tif : ತಕ್ಷಣದ
219_P011_B4_L03_W05.tif : ಬೆಳವಣಿಗೆಗಳು”
219_P011_B4_L09_W03.tif : ಮತ್ತು
219_P011_B4_L10_W03.tif : ಬಳಸಿಕೊಳ್ಳಲಾಯಿತು.
219_P011_B5_L07_W01.tif : ಅನ್ನು
219_P011_B5_L09_W06.tif : ಬೆಳವಣಿಗೆಗಳು
219_P014_B3_L03_W04.tif : ಆಗಿತ್ತು.”
219_P014_B3_L05_W03.tif : ಗಣಿಗಳಿಲ್ಲದ
219_P014_B4_L01_W03.tif : ಮಹತ್ವ
219_P014_B4_L03_W03.tif : ಉತ್ಪಾದನೆಗೆ
219_P014_B4_L03_W04.tif : ಸ೦ದಾಯವಾಗಿತ್ತು.
219_P014_B5_L03_W04.tif : ಮೂಲಕ
219_P015_B3_L01_W05.tif : ವಾಣೆಜ್ಯ
219_P015_B3_L01_W06.tif : ಪ೦ಥೀಯರ
219_P015_B3_L08_W01.tif : ಕಾರಣಗಳಿದ್ದವು
219_P015_B3_L14_W05.tif : ನಗದು
219_P015_B3_L18_W04.tif : ಪಡುತ್ತಿದ್ದವು.
219_P015_B3_L21_W02.tif : ಸ೦ಚಯನ
219_P015_B3_L21_W04.tif : ಹಾದಿಯಾಗಿದ್ದುದರಿ೦ದ
219_P015_B4_L01_W03.tif : ವ್ಯಾಪಾರ
219_P015_B4_L06_W06.tif : ಹೊ೦ದಿದೆ.
219_P016_B3_L02_W02.tif : ಗುರುತಿಸಿದರು.
219_P016_B3_L04_W01.tif : ಬಯಕೆ,
219_P016_B4_L04_W02.tif : ಹಣವನ್ನು
219_P016_B4_L07_W05.tif : ಔದ್ಯಮಿಕ
219_P016_B5_L02_W01.tif : ಗೇಣಿ
219_P016_B5_L03_W02.tif : ಉತ್ಪಾದನೆಗೆ
219_P017_B4_L01_W03.tif : ಪಡುವ೦ತೆ
219_P017_B4_L02_W01.tif : ನುಗಳು
219_P017_B4_L05_W06.tif : ಕಾನೂನುಗಳು
219_P017_B4_L06_W05.tif : ಪಟ್ಟಿದರು.
219_P017_B5_L02_W03.tif : ಮತ್ತು
219_P017_B5_L03_W03.tif : ಮತ್ತು
219_P017_B6_L05_W03.tif : ಕೌಶಲ್ಯಗಳ
219_P019_B2_L05_W02.tif : ಸ್ವಾತ೦ತ್ರ್ಯ,
219_P019_B2_L08_W06.tif : ವ್ಯಾಪಾರ
